
logging: COLLECTOR (5): modified: ==>(D. Styer; P. Smith)	(D. Styer)	(P. Smith)	UCSC009668
logging: COLLECTOR (5): modified: ==>(D. Styer; P. Smith)	(D. Styer)	(P. Smith)	UCSC009698
logging: COLLECTOR (5): modified: ==>(D. Styer; P. Smith; W. Wendt)	(D. Styer)	(P. Smith; W. Wendt)	UCSC009606
logging: COLLECTOR (5): modified: ==>(D. Styer; P. Smith; W. Wendt)	(D. Styer)	(P. Smith; W. Wendt)	UCSC009607
logging: COLLECTOR (5): modified: ==>(D. Styer; P. Smith; W. Wendt; R. Ashbach)	(D. Styer)	(P. Smith; W. Wendt; R. Ashbach)	UCSC009675
logging: COLLECTOR (5): modified: ==>(D. Styer; R. Kwan)	(D. Styer)	(R. Kwan)	UCSC009597
logging: COLLECTOR (5): modified: ==>(D. Styer; R. Kwan)	(D. Styer)	(R. Kwan)	UCSC009601
logging: COLLECTOR (5): modified: ==>(D. Styer; R. Yeager)	(D. Styer)	(R. Yeager)	UCSC009688
logging: COLLECTOR (5): modified: ==>(D. Styer; R. Yeager)	(D. Styer)	(R. Yeager)	UCSC009701
logging: COLLECTOR (5): modified: ==>(D. Styer; Wendi Wendt)	(D. Styer)	(Wendi Wendt)	UCSC011124
logging: COLLECTOR (5): modified: ==>(D. Syer; P. Smith)	(D. Styer)	(P. Smith)	UCSC009690
logging: COLLECTOR (5): modified: ==>(David & Jane Styer)	(David Styer)	(Jane Styer)	UCSC009277
logging: COLLECTOR (5): modified: ==>(David & Jane Styer)	(David Styer)	(Jane Styer)	UCSC009366
logging: COLLECTOR (5): modified: ==>(Dean Wm. Taylor with Nick Kroencke)	(Dean W. Taylor)	(Nick Kroencke)	UCSC010051
logging: COLLECTOR (5): modified: ==>(Dean Wm. Taylor with Nick Kroencke)	(Dean W. Taylor)	(Nick Kroencke)	UCSC010052
logging: COLLECTOR (5): modified: ==>(E. P. Unangst & I. J. Condit)	(E. P. Unangst)	(I. J. Condit)	UCSC000508
logging: COLLECTOR (5): modified: ==>(G. L. Stebbins Jr. and A. A. Beetle)	(G. L. Stebbins Jr.)	(A. A. Beetle)	UCSC000502
logging: COLLECTOR (5): modified: ==>(I. J. Condit and Dr. White)	(I. J. Condit)	(Dr. White)	UCSC000501
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009098
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009104
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009116
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009126
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009127
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009145
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009164
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009169
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009173
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009242
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009244
logging: COLLECTOR (5): modified: ==>(J. & D. Styer)	(J. Styer)	(D. Styer)	UCSC009290
logging: COLLECTOR (5): modified: ==>(K. Gordon; Grube)	(K. Gordon)	(Grube)	UCSC003609
